timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:00:00+00:00,10.03,8.34,16.44
2025-01-01 01:00:00+00:00,1.85,8.03,15.3
2025-01-01 02:00:00+00:00,358.6,9.34,16.7
2025-01-01 03:00:00+00:00,0.78,8.0,16.25
2025-01-01 04:00:00+00:00,356.4,7.38,16.25
2025-01-01 05:00:00+00:00,354.9,7.83,16.33
2025-01-01 06:00:00+00:00,354.2,7.09,14.54
2025-01-01 07:00:00+00:00,350.5,5.65,13.65
2025-01-01 08:00:00+00:00,349.4,6.08,13.84
2025-01-01 09:00:00+00:00,353.7,5.36,13.59
2025-01-01 10:00:00+00:00,350.6,5.28,14.03
2025-01-01 11:00:00+00:00,350.1,5.38,15.24
2025-01-01 12:00:00+00:00,344.5,6.32,14.79
2025-01-01 13:00:00+00:00,351.4,6.56,16.44
2025-01-01 14:00:00+00:00,352.2,6.31,15.88
2025-01-01 15:00:00+00:00,345.8,5.06,11.56
2025-01-01 16:00:00+00:00,353.6,4.65,12.0
2025-01-01 17:00:00+00:00,353.8,3.94,11.05
2025-01-01 18:00:00+00:00,352.3,4.6,11.3
2025-01-01 19:00:00+00:00,358.3,3.44,9.4
2025-01-01 20:00:00+00:00,358.3,2.7,9.52
2025-01-01 21:00:00+00:00,358.3,3.56,11.49
2025-01-01 22:00:00+00:00,344.8,2.78,6.48
2025-01-01 23:00:00+00:00,355.6,2.93,8.83
2025-01-02 00:00:00+00:00,13.77,3.63,11.62
