timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:00:00+00:00,66.3,11.86,22.74
2025-01-01 00:05:00+00:00,67.3,13.41,23.13
2025-01-01 00:10:00+00:00,77.4,13.41,24.3
2025-01-01 00:15:00+00:00,69.2,13.22,21.58
2025-01-01 00:20:00+00:00,72.9,11.86,19.83
2025-01-01 00:25:00+00:00,71.8,11.27,20.02
2025-01-01 00:30:00+00:00,72.2,11.66,21.77
2025-01-01 00:35:00+00:00,77.6,12.05,20.6
2025-01-01 00:40:00+00:00,80.6,8.94,15.75
2025-01-01 00:45:00+00:00,77.1,10.89,20.41
2025-01-01 00:50:00+00:00,71.0,10.5,19.24
2025-01-01 00:55:00+00:00,77.7,10.3,17.11
2025-01-01 01:00:00+00:00,72.7,10.69,18.66
2025-01-01 01:05:00+00:00,72.0,8.75,17.49
2025-01-01 01:10:00+00:00,70.0,8.16,16.33
2025-01-01 01:15:00+00:00,71.6,10.5,18.08
2025-01-01 01:20:00+00:00,79.9,9.14,19.24
2025-01-01 01:25:00+00:00,71.3,11.27,19.24
2025-01-01 01:30:00+00:00,69.3,11.66,21.77
2025-01-01 01:35:00+00:00,75.5,13.41,21.77
2025-01-01 01:40:00+00:00,73.2,11.66,17.11
2025-01-01 01:45:00+00:00,70.7,12.05,20.99
2025-01-01 01:50:00+00:00,68.6,10.5,17.88
2025-01-01 01:55:00+00:00,68.3,12.44,20.41
2025-01-01 02:00:00+00:00,66.8,10.69,21.97
2025-01-01 02:05:00+00:00,65.0,12.83,21.38
2025-01-01 02:10:00+00:00,69.8,13.22,22.74
2025-01-01 02:15:00+00:00,74.4,13.41,21.38
2025-01-01 02:20:00+00:00,75.8,11.86,20.22
2025-01-01 02:25:00+00:00,66.6,11.86,18.27
2025-01-01 02:30:00+00:00,72.6,9.52,17.11
2025-01-01 02:35:00+00:00,70.8,11.47,19.24
2025-01-01 02:40:00+00:00,68.5,11.27,19.44
2025-01-01 02:45:00+00:00,75.6,10.5,21.97
2025-01-01 02:50:00+00:00,77.1,10.11,19.05
2025-01-01 02:55:00+00:00,76.8,10.5,18.47
2025-01-01 03:00:00+00:00,76.2,9.14,20.02
2025-01-01 03:05:00+00:00,82.4,11.08,20.99
2025-01-01 03:10:00+00:00,75.2,11.47,19.24
2025-01-01 03:15:00+00:00,70.0,11.08,20.6
2025-01-01 03:20:00+00:00,68.4,14.58,25.08
2025-01-01 03:25:00+00:00,77.7,12.05,23.33
2025-01-01 03:30:00+00:00,67.2,13.8,24.3
2025-01-01 03:35:00+00:00,70.4,14.97,25.27
2025-01-01 03:40:00+00:00,67.9,15.75,23.33
2025-01-01 03:45:00+00:00,67.2,15.16,23.71
2025-01-01 03:50:00+00:00,68.4,13.02,23.13
2025-01-01 03:55:00+00:00,71.6,13.02,21.77
2025-01-01 04:00:00+00:00,70.8,14.58,23.33
2025-01-01 04:05:00+00:00,72.3,12.44,22.74
2025-01-01 04:10:00+00:00,80.2,12.05,18.86
2025-01-01 04:15:00+00:00,83.3,11.08,19.05
2025-01-01 04:20:00+00:00,78.1,12.25,23.13
2025-01-01 04:25:00+00:00,70.9,10.3,18.47
2025-01-01 04:30:00+00:00,76.3,9.91,17.88
2025-01-01 04:35:00+00:00,80.2,10.5,19.63
2025-01-01 04:40:00+00:00,84.1,10.69,20.99
2025-01-01 04:45:00+00:00,76.4,9.91,17.11
2025-01-01 04:50:00+00:00,79.2,10.3,18.86
2025-01-01 04:55:00+00:00,88.0,8.36,15.75
2025-01-01 05:00:00+00:00,80.3,7.58,16.52
2025-01-01 05:05:00+00:00,80.2,8.75,20.22
2025-01-01 05:10:00+00:00,75.5,10.3,18.27
2025-01-01 05:15:00+00:00,71.4,10.5,18.47
2025-01-01 05:20:00+00:00,74.1,9.91,19.24
2025-01-01 05:25:00+00:00,71.4,11.86,20.41
2025-01-01 05:30:00+00:00,69.6,12.63,22.16
2025-01-01 05:35:00+00:00,65.4,13.02,23.52
2025-01-01 05:40:00+00:00,63.2,14.0,22.74
2025-01-01 05:45:00+00:00,71.0,12.05,25.27
2025-01-01 05:50:00+00:00,64.5,14.58,23.71
2025-01-01 05:55:00+00:00,62.8,13.41,23.33
