timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:00:00+00:00,254.3,0.97,1.75
2025-01-01 00:05:00+00:00,231.9,0.19,1.75
2025-01-01 00:10:00+00:00,227.8,0.39,1.75
2025-01-01 00:15:00+00:00,256.0,1.17,1.94
2025-01-01 00:20:00+00:00,,0.0,0.58
2025-01-01 00:25:00+00:00,178.0,0.39,1.17
2025-01-01 00:30:00+00:00,85.0,0.58,1.17
2025-01-01 00:35:00+00:00,163.3,0.58,1.94
2025-01-01 00:40:00+00:00,152.9,1.36,2.14
2025-01-01 00:45:00+00:00,169.6,1.56,2.53
2025-01-01 00:50:00+00:00,160.3,0.39,1.17
2025-01-01 00:55:00+00:00,64.7,0.39,1.36
2025-01-01 01:00:00+00:00,,0.0,1.17
2025-01-01 01:05:00+00:00,244.3,0.19,1.17
2025-01-01 01:10:00+00:00,265.5,0.78,1.94
2025-01-01 01:15:00+00:00,228.6,0.78,1.94
2025-01-01 01:20:00+00:00,185.3,0.39,1.17
2025-01-01 01:25:00+00:00,300.7,0.19,1.17
2025-01-01 01:30:00+00:00,348.3,0.39,1.94
2025-01-01 01:35:00+00:00,252.4,1.36,2.14
2025-01-01 01:40:00+00:00,231.7,0.58,1.94
2025-01-01 01:45:00+00:00,222.6,0.97,2.14
2025-01-01 01:50:00+00:00,236.0,0.39,1.36
2025-01-01 01:55:00+00:00,195.4,0.39,1.56
2025-01-01 02:00:00+00:00,125.3,0.78,1.75
2025-01-01 02:05:00+00:00,139.7,0.78,1.75
2025-01-01 02:10:00+00:00,202.9,0.58,1.75
2025-01-01 02:15:00+00:00,268.7,0.78,1.56
2025-01-01 02:20:00+00:00,107.3,0.58,2.14
2025-01-01 02:25:00+00:00,135.8,1.17,2.14
2025-01-01 02:30:00+00:00,126.0,0.58,1.94
2025-01-01 02:35:00+00:00,263.2,1.36,2.53
2025-01-01 02:40:00+00:00,276.4,0.97,2.14
2025-01-01 02:45:00+00:00,260.1,1.36,2.33
2025-01-01 02:50:00+00:00,247.8,0.58,1.56
2025-01-01 02:55:00+00:00,244.7,1.17,2.72
2025-01-01 03:00:00+00:00,256.4,1.17,1.94
2025-01-01 03:05:00+00:00,249.3,1.36,3.11
2025-01-01 03:10:00+00:00,203.6,0.78,2.14
2025-01-01 03:15:00+00:00,225.5,0.58,2.14
2025-01-01 03:20:00+00:00,190.4,0.39,1.56
2025-01-01 03:25:00+00:00,227.0,0.97,1.94
2025-01-01 03:30:00+00:00,245.8,1.17,2.72
2025-01-01 03:35:00+00:00,240.1,0.78,1.94
2025-01-01 03:40:00+00:00,131.7,0.39,1.36
2025-01-01 03:45:00+00:00,109.9,1.17,3.11
2025-01-01 03:50:00+00:00,100.0,1.94,4.47
2025-01-01 03:55:00+00:00,110.8,2.72,6.61
2025-01-01 04:00:00+00:00,121.7,2.33,5.05
2025-01-01 04:05:00+00:00,130.4,2.14,4.08
2025-01-01 04:10:00+00:00,121.6,2.33,3.69
2025-01-01 04:15:00+00:00,115.0,0.78,5.05
2025-01-01 04:20:00+00:00,81.6,1.56,3.5
2025-01-01 04:25:00+00:00,290.2,2.33,4.86
2025-01-01 04:30:00+00:00,274.5,1.75,3.3
2025-01-01 04:35:00+00:00,253.5,1.17,1.94
2025-01-01 04:40:00+00:00,235.9,0.39,1.75
2025-01-01 04:45:00+00:00,220.8,0.78,2.72
2025-01-01 04:50:00+00:00,140.0,0.58,2.14
2025-01-01 04:55:00+00:00,223.1,0.78,1.75
2025-01-01 05:00:00+00:00,271.6,0.78,1.75
2025-01-01 05:05:00+00:00,183.7,0.39,1.36
2025-01-01 05:10:00+00:00,251.4,0.39,1.56
2025-01-01 05:15:00+00:00,279.0,1.36,2.33
2025-01-01 05:20:00+00:00,275.4,1.36,2.14
2025-01-01 05:25:00+00:00,230.8,0.39,1.94
2025-01-01 05:30:00+00:00,233.5,0.78,1.36
2025-01-01 05:35:00+00:00,216.6,0.39,1.56
2025-01-01 05:40:00+00:00,306.8,0.58,1.17
2025-01-01 05:45:00+00:00,235.9,0.97,1.94
2025-01-01 05:50:00+00:00,216.6,0.39,1.17
2025-01-01 05:55:00+00:00,157.5,0.19,2.92
2025-01-01 06:00:00+00:00,262.9,0.19,1.56
2025-01-01 06:05:00+00:00,276.7,0.58,1.17
2025-01-01 06:10:00+00:00,351.5,0.39,1.75
2025-01-01 06:15:00+00:00,56.4,0.58,1.75
2025-01-01 06:20:00+00:00,106.9,1.17,2.72
2025-01-01 06:25:00+00:00,111.2,0.19,1.56
2025-01-01 06:30:00+00:00,181.9,0.19,1.75
2025-01-01 06:35:00+00:00,208.8,1.17,3.3
2025-01-01 06:40:00+00:00,163.2,1.17,1.94
2025-01-01 06:45:00+00:00,173.8,1.17,1.94
2025-01-01 06:50:00+00:00,144.5,0.78,1.94
2025-01-01 06:55:00+00:00,134.6,1.75,3.69
2025-01-01 07:00:00+00:00,138.8,1.94,3.11
2025-01-01 07:05:00+00:00,155.0,1.94,3.5
2025-01-01 07:10:00+00:00,163.0,1.56,2.53
2025-01-01 07:15:00+00:00,186.4,1.56,2.92
2025-01-01 07:20:00+00:00,187.8,1.17,2.53
2025-01-01 07:25:00+00:00,185.9,0.58,1.56
2025-01-01 07:30:00+00:00,178.9,0.39,1.36
2025-01-01 07:35:00+00:00,199.9,0.97,1.94
2025-01-01 07:40:00+00:00,179.5,0.97,2.72
2025-01-01 07:45:00+00:00,245.9,0.19,1.17
2025-01-01 07:50:00+00:00,333.9,0.39,1.17
2025-01-01 07:55:00+00:00,203.7,0.19,0.78
2025-01-01 08:00:00+00:00,231.1,0.78,1.94
2025-01-01 08:05:00+00:00,218.4,0.39,1.75
2025-01-01 08:10:00+00:00,125.9,0.58,1.17
2025-01-01 08:15:00+00:00,123.1,1.56,2.14
2025-01-01 08:20:00+00:00,153.4,1.94,2.72
2025-01-01 08:25:00+00:00,150.4,1.75,2.72
2025-01-01 08:30:00+00:00,144.1,1.17,2.33
2025-01-01 08:35:00+00:00,129.2,1.17,1.75
2025-01-01 08:40:00+00:00,107.9,1.56,2.14
