timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:00:00+00:00,40.0,1.62,3.78
2025-01-01 00:12:00+00:00,40.0,4.32,5.94
2025-01-01 00:24:00+00:00,40.0,2.16,5.4
2025-01-01 00:36:00+00:00,40.0,4.32,5.94
2025-01-01 00:48:00+00:00,30.0,4.32,6.48
2025-01-01 01:00:00+00:00,30.0,4.32,5.94
2025-01-01 01:12:00+00:00,45.0,5.4,7.56
2025-01-01 01:24:00+00:00,40.0,5.94,8.64
2025-01-01 01:36:00+00:00,45.0,3.24,7.56
2025-01-01 01:48:00+00:00,30.0,2.16,4.32
2025-01-01 02:00:00+00:00,40.0,4.32,5.94
2025-01-01 02:12:00+00:00,55.0,3.78,7.02
2025-01-01 02:24:00+00:00,0.0,1.08,3.24
2025-01-01 02:36:00+00:00,45.0,3.24,4.86
2025-01-01 02:48:00+00:00,30.0,5.94,7.56
2025-01-01 03:00:00+00:00,15.0,1.62,5.4
2025-01-01 03:12:00+00:00,20.0,2.16,3.78
2025-01-01 03:24:00+00:00,40.0,0.54,2.7
2025-01-01 03:36:00+00:00,30.0,0.54,1.08
2025-01-01 03:48:00+00:00,30.0,1.08,1.62
2025-01-01 04:00:00+00:00,30.0,4.86,5.4
2025-01-01 04:12:00+00:00,25.0,1.62,4.86
2025-01-01 04:24:00+00:00,20.0,0.54,2.16
2025-01-01 04:36:00+00:00,35.0,1.08,2.16
2025-01-01 04:48:00+00:00,25.0,1.08,2.16
2025-01-01 05:00:00+00:00,30.0,2.7,3.78
2025-01-01 05:12:00+00:00,10.0,0.54,4.86
2025-01-01 05:24:00+00:00,25.0,2.16,2.7
2025-01-01 05:36:00+00:00,35.0,0.54,2.16
2025-01-01 05:48:00+00:00,30.0,3.24,3.78
2025-01-01 06:00:00+00:00,20.0,1.08,3.24
2025-01-01 06:12:00+00:00,35.0,1.08,2.16
2025-01-01 06:24:00+00:00,25.0,2.16,4.86
2025-01-01 06:36:00+00:00,,0.0,2.16
2025-01-01 06:48:00+00:00,25.0,1.62,2.16
2025-01-01 07:00:00+00:00,20.0,1.08,2.16
2025-01-01 07:12:00+00:00,20.0,2.7,3.24
2025-01-01 07:24:00+00:00,10.0,1.08,3.24
2025-01-01 07:36:00+00:00,25.0,1.08,1.62
2025-01-01 07:48:00+00:00,25.0,1.08,2.7
2025-01-01 08:00:00+00:00,15.0,1.62,3.24
2025-01-01 08:12:00+00:00,35.0,2.7,4.86
2025-01-01 08:24:00+00:00,220.0,0.54,2.7
2025-01-01 08:36:00+00:00,,0.0,1.08
2025-01-01 08:48:00+00:00,,0.0,0.54
2025-01-01 09:00:00+00:00,20.0,1.62,2.7
2025-01-01 09:12:00+00:00,30.0,2.16,3.24
2025-01-01 09:24:00+00:00,355.0,1.08,2.16
2025-01-01 09:36:00+00:00,,0.0,1.08
2025-01-01 09:48:00+00:00,,0.0,0.54
2025-01-01 10:00:00+00:00,,0.0,0.0
2025-01-01 10:12:00+00:00,,0.0,0.0
2025-01-01 10:24:00+00:00,,0.0,0.0
2025-01-01 10:36:00+00:00,,0.0,0.0
2025-01-01 10:48:00+00:00,40.0,0.54,1.08
