timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 02:02:00+00:00,58.0,5.63,10.88
2025-01-01 02:12:00+00:00,70.0,6.02,7.96
2025-01-01 02:22:00+00:00,70.0,7.96,22.34
2025-01-01 02:32:00+00:00,72.0,8.55,10.29
2025-01-01 02:42:00+00:00,84.0,6.8,10.68
2025-01-01 02:52:00+00:00,60.0,6.99,15.93
2025-01-01 03:02:00+00:00,59.0,8.74,10.1
2025-01-01 03:12:00+00:00,58.0,11.85,21.17
2025-01-01 03:22:00+00:00,64.0,10.29,19.04
2025-01-01 03:32:00+00:00,50.0,12.04,22.92
2025-01-01 03:42:00+00:00,63.0,12.43,16.51
2025-01-01 03:52:00+00:00,67.0,10.68,22.34
2025-01-01 04:02:00+00:00,70.0,12.04,20.01
2025-01-01 04:12:00+00:00,68.0,10.68,22.92
2025-01-01 04:22:00+00:00,60.0,9.91,15.93
2025-01-01 04:32:00+00:00,60.0,12.04,13.99
2025-01-01 04:42:00+00:00,60.0,13.99,24.09
2025-01-01 04:52:00+00:00,70.0,13.01,19.04
2025-01-01 05:02:00+00:00,60.0,13.01,17.09
2025-01-01 05:12:00+00:00,60.0,11.85,15.54
2025-01-01 05:22:00+00:00,75.0,9.32,16.9
2025-01-01 05:32:00+00:00,70.0,11.07,15.93
2025-01-01 05:42:00+00:00,60.0,12.04,
2025-01-01 05:52:00+00:00,60.0,11.07,20.01
2025-01-01 06:02:00+00:00,50.0,7.96,18.06
2025-01-01 06:12:00+00:00,69.0,9.91,20.78
2025-01-01 06:22:00+00:00,62.0,7.77,
2025-01-01 06:32:00+00:00,50.0,8.94,15.93
2025-01-01 06:42:00+00:00,60.0,12.04,15.93
2025-01-01 06:52:00+00:00,60.0,8.94,11.07
2025-01-01 07:02:00+00:00,60.0,12.04,21.95
2025-01-01 07:12:00+00:00,63.0,11.27,18.45
2025-01-01 07:22:00+00:00,60.0,7.96,12.04
2025-01-01 07:32:00+00:00,60.0,7.96,8.94
2025-01-01 07:42:00+00:00,70.0,7.96,
2025-01-01 07:52:00+00:00,60.0,9.91,14.96
2025-01-01 08:02:00+00:00,70.0,11.07,
2025-01-01 08:12:00+00:00,57.0,9.32,20.4
2025-01-01 08:22:00+00:00,58.0,11.65,17.29
2025-01-01 08:32:00+00:00,60.0,13.01,19.04
2025-01-01 08:42:00+00:00,60.0,11.07,22.92
2025-01-01 08:52:00+00:00,60.0,11.07,24.09
2025-01-01 09:02:00+00:00,60.0,14.96,20.01
2025-01-01 09:12:00+00:00,67.0,6.8,8.94
2025-01-01 09:22:00+00:00,60.0,12.04,20.98
2025-01-01 09:32:00+00:00,40.0,11.07,20.01
2025-01-01 09:42:00+00:00,70.0,11.07,20.01
2025-01-01 09:52:00+00:00,60.0,8.94,24.09
2025-01-01 10:02:00+00:00,60.0,12.04,20.01
2025-01-01 10:12:00+00:00,58.0,15.93,23.5
2025-01-01 10:22:00+00:00,60.0,13.99,
2025-01-01 10:32:00+00:00,50.0,11.07,11.07
2025-01-01 10:42:00+00:00,60.0,9.91,24.09
2025-01-01 10:52:00+00:00,60.0,11.07,17.09
2025-01-01 11:02:00+00:00,60.0,13.99,27.0
2025-01-01 11:12:00+00:00,56.0,11.46,24.47
2025-01-01 11:22:00+00:00,46.0,8.74,18.84
2025-01-01 11:32:00+00:00,60.0,6.99,21.95
2025-01-01 11:42:00+00:00,50.0,9.91,
2025-01-01 11:52:00+00:00,60.0,8.94,19.04
