timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 01:52:00+00:00,70.0,0.97,4.08
2025-01-01 02:52:00+00:00,70.0,2.92,2.92
2025-01-01 03:52:00+00:00,,0.0,1.94
2025-01-01 04:52:00+00:00,20.0,0.97,2.92
2025-01-01 05:52:00+00:00,,0.0,2.92
2025-01-01 06:52:00+00:00,70.0,1.94,4.08
2025-01-01 07:52:00+00:00,70.0,1.94,2.92
2025-01-01 08:52:00+00:00,70.0,1.94,4.08
2025-01-01 09:52:00+00:00,30.0,0.97,4.08
2025-01-01 10:52:00+00:00,90.0,0.97,4.08
2025-01-01 11:52:00+00:00,10.0,0.97,4.08
2025-01-01 12:52:00+00:00,,0.0,2.92
2025-01-01 13:52:00+00:00,,0.0,2.92
2025-01-01 14:52:00+00:00,90.0,0.97,4.08
2025-01-01 15:52:00+00:00,,0.0,4.08
2025-01-01 16:52:00+00:00,60.0,2.92,4.08
2025-01-01 17:52:00+00:00,10.0,0.97,4.08
2025-01-01 18:52:00+00:00,50.0,1.94,4.08
2025-01-01 19:52:00+00:00,,0.0,2.92
2025-01-01 20:52:00+00:00,70.0,1.94,4.08
2025-01-01 21:52:00+00:00,,0.0,2.92
2025-01-01 22:52:00+00:00,,0.0,2.92
2025-01-01 23:52:00+00:00,,0.0,1.94
