timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:06:00+00:00,164.0,2.61,6.08
2025-01-01 00:26:00+00:00,111.0,2.61,4.34
2025-01-01 00:46:00+00:00,121.0,3.48,5.21
2025-01-01 01:06:00+00:00,174.0,4.34,5.21
2025-01-01 01:26:00+00:00,97.0,4.34,4.34
2025-01-01 01:46:00+00:00,117.0,1.74,2.61
2025-01-01 02:06:00+00:00,169.0,1.74,3.48
2025-01-01 02:26:00+00:00,160.0,2.61,3.48
2025-01-01 02:46:00+00:00,163.0,1.74,1.74
2025-01-01 03:06:00+00:00,115.0,0.87,1.74
2025-01-01 03:26:00+00:00,141.0,0.87,2.61
2025-01-01 03:46:00+00:00,,0.0,0.87
2025-01-01 04:06:00+00:00,165.0,1.74,1.74
2025-01-01 04:26:00+00:00,110.0,0.87,1.74
2025-01-01 04:46:00+00:00,118.0,1.74,2.61
2025-01-01 05:06:00+00:00,84.0,0.87,2.61
2025-01-01 05:26:00+00:00,,0.0,1.74
2025-01-01 05:46:00+00:00,58.0,1.74,1.74
2025-01-01 06:06:00+00:00,19.0,2.61,2.61
2025-01-01 06:26:00+00:00,181.0,0.87,1.74
2025-01-01 06:46:00+00:00,190.0,1.74,1.74
2025-01-01 07:06:00+00:00,203.0,1.74,1.74
2025-01-01 07:26:00+00:00,185.0,0.87,1.74
2025-01-01 07:46:00+00:00,29.0,2.61,2.61
2025-01-01 08:06:00+00:00,91.0,0.87,1.74
2025-01-01 08:26:00+00:00,,0.0,0.87
2025-01-01 08:46:00+00:00,,0.0,2.61
2025-01-01 09:06:00+00:00,162.0,1.74,2.61
2025-01-01 09:26:00+00:00,298.0,1.74,2.61
2025-01-01 09:46:00+00:00,199.0,2.61,2.61
2025-01-01 10:06:00+00:00,232.0,2.61,2.61
2025-01-01 10:26:00+00:00,223.0,3.48,3.48
2025-01-01 10:46:00+00:00,192.0,2.61,3.48
2025-01-01 11:06:00+00:00,304.0,0.87,1.74
2025-01-01 11:26:00+00:00,12.0,1.74,2.61
2025-01-01 11:46:00+00:00,,0.0,1.74
2025-01-01 12:06:00+00:00,60.0,0.87,1.74
2025-01-01 12:26:00+00:00,244.0,1.74,1.74
2025-01-01 12:46:00+00:00,207.0,1.74,2.61
2025-01-01 13:06:00+00:00,202.0,1.74,2.61
2025-01-01 13:26:00+00:00,,0.0,0.87
2025-01-01 13:46:00+00:00,155.0,1.74,1.74
2025-01-01 14:06:00+00:00,237.0,2.61,2.61
2025-01-01 14:26:00+00:00,242.0,0.87,0.87
2025-01-01 14:46:00+00:00,226.0,1.74,3.48
2025-01-01 15:06:00+00:00,268.0,1.74,3.48
2025-01-01 15:26:00+00:00,196.0,3.48,3.48
2025-01-01 15:46:00+00:00,209.0,1.74,1.74
2025-01-01 16:06:00+00:00,183.0,2.61,2.61
2025-01-01 16:26:00+00:00,220.0,1.74,3.48
2025-01-01 16:46:00+00:00,256.0,0.87,1.74
2025-01-01 17:06:00+00:00,137.0,2.61,2.61
2025-01-01 17:26:00+00:00,115.0,3.48,4.34
2025-01-01 17:46:00+00:00,109.0,4.34,6.08
2025-01-01 18:06:00+00:00,134.0,2.61,4.34
2025-01-01 18:26:00+00:00,268.0,1.74,4.34
2025-01-01 18:46:00+00:00,203.0,3.48,3.48
2025-01-01 19:06:00+00:00,263.0,1.74,4.34
2025-01-01 19:26:00+00:00,202.0,2.61,3.48
2025-01-01 19:46:00+00:00,231.0,1.74,3.48
2025-01-01 20:06:00+00:00,222.0,3.48,3.48
2025-01-01 20:26:00+00:00,268.0,1.74,2.61
2025-01-01 20:46:00+00:00,229.0,2.61,2.61
2025-01-01 21:06:00+00:00,213.0,0.87,1.74
2025-01-01 21:26:00+00:00,168.0,1.74,2.61
2025-01-01 21:46:00+00:00,215.0,3.48,3.48
2025-01-01 22:06:00+00:00,220.0,2.61,3.48
2025-01-01 22:26:00+00:00,210.0,1.74,2.61
2025-01-01 22:46:00+00:00,165.0,2.61,3.48
2025-01-01 23:06:00+00:00,196.0,2.61,2.61
2025-01-01 23:26:00+00:00,190.0,2.61,2.61
2025-01-01 23:46:00+00:00,183.0,1.74,2.61
