timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:00:00+00:00,346.0,0.54,3.78
2025-01-01 00:10:00+00:00,40.0,2.7,4.86
2025-01-01 00:20:00+00:00,39.0,1.62,5.94
2025-01-01 00:30:00+00:00,33.0,2.7,6.48
2025-01-01 00:40:00+00:00,348.0,1.08,5.4
2025-01-01 00:50:00+00:00,13.0,1.08,4.32
2025-01-01 01:00:00+00:00,4.0,1.62,4.86
2025-01-01 01:10:00+00:00,32.0,2.7,5.4
2025-01-01 01:20:00+00:00,55.0,1.08,6.48
2025-01-01 01:30:00+00:00,24.0,1.62,5.94
2025-01-01 01:40:00+00:00,36.0,2.16,5.94
2025-01-01 01:50:00+00:00,50.0,2.7,7.56
2025-01-01 02:00:00+00:00,29.0,2.16,8.1
2025-01-01 02:10:00+00:00,41.0,4.32,8.1
2025-01-01 02:20:00+00:00,7.0,0.54,5.94
2025-01-01 02:30:00+00:00,16.0,1.62,5.4
2025-01-01 02:40:00+00:00,20.0,2.7,7.02
2025-01-01 02:50:00+00:00,6.0,2.7,5.4
2025-01-01 03:00:00+00:00,27.0,1.08,7.02
2025-01-01 03:10:00+00:00,30.0,2.16,4.86
2025-01-01 03:20:00+00:00,42.0,2.16,4.32
2025-01-01 03:30:00+00:00,13.0,1.08,5.4
2025-01-01 03:40:00+00:00,25.0,3.24,4.86
2025-01-01 03:50:00+00:00,44.0,2.16,4.86
2025-01-01 04:00:00+00:00,18.0,0.54,4.32
2025-01-01 04:10:00+00:00,71.0,1.62,2.7
2025-01-01 04:20:00+00:00,60.0,1.08,3.78
2025-01-01 04:30:00+00:00,38.0,1.08,5.4
2025-01-01 04:40:00+00:00,54.0,2.7,4.86
2025-01-01 04:50:00+00:00,64.0,2.7,5.4
2025-01-01 05:00:00+00:00,20.0,1.62,5.4
2025-01-01 05:10:00+00:00,23.0,0.54,2.7
2025-01-01 05:20:00+00:00,64.0,1.62,5.4
2025-01-01 05:30:00+00:00,290.0,0.54,3.78
2025-01-01 05:40:00+00:00,56.0,1.62,3.24
2025-01-01 05:50:00+00:00,34.0,2.16,5.4
2025-01-01 06:00:00+00:00,30.0,1.08,6.48
2025-01-01 06:10:00+00:00,35.0,2.7,5.4
2025-01-01 06:20:00+00:00,44.0,1.62,4.86
2025-01-01 06:30:00+00:00,49.0,1.62,5.94
2025-01-01 06:40:00+00:00,53.0,2.7,4.86
2025-01-01 06:50:00+00:00,44.0,2.16,5.94
2025-01-01 07:00:00+00:00,7.0,1.62,4.32
2025-01-01 07:10:00+00:00,57.0,2.7,4.86
2025-01-01 07:20:00+00:00,43.0,1.62,4.86
2025-01-01 07:30:00+00:00,45.0,2.7,4.86
2025-01-01 07:40:00+00:00,25.0,0.54,4.32
2025-01-01 07:50:00+00:00,295.0,1.08,3.24
2025-01-01 08:00:00+00:00,70.0,0.54,2.7
2025-01-01 08:10:00+00:00,68.0,1.62,3.78
2025-01-01 08:20:00+00:00,,0.0,3.78
2025-01-01 08:30:00+00:00,323.0,0.54,1.62
2025-01-01 08:40:00+00:00,350.0,1.08,2.7
2025-01-01 08:50:00+00:00,34.0,2.16,4.86
2025-01-01 09:00:00+00:00,63.0,0.54,4.32
2025-01-01 09:10:00+00:00,36.0,1.62,4.86
2025-01-01 09:20:00+00:00,358.0,0.54,5.94
2025-01-01 09:30:00+00:00,31.0,1.62,4.86
2025-01-01 09:40:00+00:00,53.0,2.16,5.4
2025-01-01 09:50:00+00:00,56.0,3.78,7.02
2025-01-01 10:00:00+00:00,285.0,1.08,4.86
2025-01-01 10:10:00+00:00,342.0,1.08,4.32
2025-01-01 10:20:00+00:00,342.0,1.62,5.4
2025-01-01 10:30:00+00:00,9.0,1.08,6.48
2025-01-01 10:40:00+00:00,17.0,1.08,4.86
2025-01-01 10:50:00+00:00,25.0,3.24,9.72
2025-01-01 11:00:00+00:00,26.0,3.78,8.1
2025-01-01 11:10:00+00:00,45.0,2.7,8.1
2025-01-01 11:20:00+00:00,340.0,0.54,8.64
2025-01-01 11:30:00+00:00,13.0,1.62,5.4
2025-01-01 11:40:00+00:00,331.0,1.08,5.94
2025-01-01 11:50:00+00:00,25.0,1.62,5.4
2025-01-01 12:00:00+00:00,19.0,1.62,9.72
2025-01-01 12:10:00+00:00,17.0,1.62,6.48
2025-01-01 12:20:00+00:00,4.0,2.16,8.1
2025-01-01 12:30:00+00:00,54.0,3.24,9.72
2025-01-01 12:40:00+00:00,42.0,2.7,6.48
2025-01-01 12:50:00+00:00,55.0,2.7,7.56
2025-01-01 13:00:00+00:00,54.0,3.78,7.56
