timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:00:00+00:00,,0.0,0.0
2025-01-01 00:05:00+00:00,,0.0,0.0
2025-01-01 00:10:00+00:00,104.2,0.58,1.36
2025-01-01 00:15:00+00:00,90.7,0.19,1.56
2025-01-01 00:20:00+00:00,,0.0,0.0
2025-01-01 00:25:00+00:00,,0.0,0.0
2025-01-01 00:30:00+00:00,,0.0,0.0
2025-01-01 00:35:00+00:00,60.8,0.58,1.56
2025-01-01 00:40:00+00:00,41.3,0.97,2.14
2025-01-01 00:45:00+00:00,35.9,0.39,1.75
2025-01-01 00:50:00+00:00,9.7,0.78,2.14
2025-01-01 00:55:00+00:00,,0.0,0.97
2025-01-01 01:00:00+00:00,109.8,0.39,1.36
2025-01-01 01:05:00+00:00,74.1,0.78,2.14
2025-01-01 01:10:00+00:00,77.8,0.78,1.75
2025-01-01 01:15:00+00:00,83.4,1.17,2.14
2025-01-01 01:20:00+00:00,88.8,1.17,2.14
2025-01-01 01:25:00+00:00,86.9,1.36,2.33
2025-01-01 01:30:00+00:00,64.2,1.17,2.14
2025-01-01 01:35:00+00:00,71.6,1.17,2.14
2025-01-01 01:40:00+00:00,78.7,0.78,2.14
2025-01-01 01:45:00+00:00,93.4,0.39,1.75
2025-01-01 01:50:00+00:00,203.9,0.58,1.56
2025-01-01 01:55:00+00:00,,0.0,0.0
2025-01-01 02:00:00+00:00,156.1,0.39,2.33
2025-01-01 02:05:00+00:00,170.8,0.39,2.53
2025-01-01 02:10:00+00:00,175.6,0.39,1.75
2025-01-01 02:15:00+00:00,108.8,0.19,1.36
2025-01-01 02:20:00+00:00,96.9,0.58,1.94
2025-01-01 02:25:00+00:00,94.3,0.97,1.56
2025-01-01 02:30:00+00:00,,0.0,0.97
2025-01-01 02:35:00+00:00,70.8,0.39,1.75
2025-01-01 02:40:00+00:00,48.8,0.78,1.56
2025-01-01 02:45:00+00:00,,0.0,0.0
2025-01-01 02:50:00+00:00,,0.0,0.0
2025-01-01 02:55:00+00:00,,0.0,0.0
2025-01-01 03:00:00+00:00,,0.0,0.0
2025-01-01 03:05:00+00:00,,0.0,0.0
2025-01-01 03:10:00+00:00,,0.0,0.58
2025-01-01 03:15:00+00:00,,0.0,0.39
2025-01-01 03:20:00+00:00,103.1,0.39,1.75
2025-01-01 03:25:00+00:00,121.6,0.58,1.75
2025-01-01 03:30:00+00:00,,0.0,1.17
2025-01-01 03:35:00+00:00,27.4,1.17,2.92
2025-01-01 03:40:00+00:00,125.1,0.58,1.75
2025-01-01 03:45:00+00:00,103.5,0.78,1.75
2025-01-01 03:50:00+00:00,101.9,1.36,2.33
2025-01-01 03:55:00+00:00,98.7,1.56,2.72
2025-01-01 04:00:00+00:00,123.1,0.19,0.78
2025-01-01 04:05:00+00:00,86.2,0.39,1.75
2025-01-01 04:10:00+00:00,87.4,0.39,1.36
2025-01-01 04:15:00+00:00,,0.0,0.0
2025-01-01 04:20:00+00:00,,0.0,0.0
2025-01-01 04:25:00+00:00,57.9,1.94,5.64
2025-01-01 04:30:00+00:00,130.4,1.75,4.47
2025-01-01 04:35:00+00:00,81.6,1.17,2.92
2025-01-01 04:40:00+00:00,81.9,1.36,2.33
2025-01-01 04:45:00+00:00,97.3,0.39,1.56
2025-01-01 04:50:00+00:00,96.6,1.17,1.94
2025-01-01 04:55:00+00:00,94.6,0.58,1.94
2025-01-01 05:00:00+00:00,,0.0,0.0
2025-01-01 05:05:00+00:00,,0.0,0.0
2025-01-01 05:10:00+00:00,,0.0,0.0
2025-01-01 05:15:00+00:00,83.9,0.78,2.53
2025-01-01 05:20:00+00:00,77.3,1.36,2.92
2025-01-01 05:25:00+00:00,82.4,1.17,2.33
2025-01-01 05:30:00+00:00,70.4,1.36,2.53
2025-01-01 05:35:00+00:00,88.0,1.36,2.72
2025-01-01 05:40:00+00:00,92.1,0.78,2.92
2025-01-01 05:45:00+00:00,58.1,1.17,2.33
2025-01-01 05:50:00+00:00,79.8,0.97,1.75
2025-01-01 05:55:00+00:00,78.4,0.97,1.94
2025-01-01 06:00:00+00:00,84.8,1.36,1.94
2025-01-01 06:05:00+00:00,95.5,1.17,2.14
2025-01-01 06:10:00+00:00,,0.0,0.0
2025-01-01 06:15:00+00:00,,0.0,0.0
2025-01-01 06:20:00+00:00,,0.0,0.0
2025-01-01 06:25:00+00:00,,0.0,0.0
2025-01-01 06:30:00+00:00,,0.0,0.0
2025-01-01 06:35:00+00:00,,0.0,0.0
2025-01-01 06:40:00+00:00,,0.0,0.0
2025-01-01 06:45:00+00:00,,0.0,0.0
2025-01-01 06:50:00+00:00,103.0,1.36,2.33
2025-01-01 06:55:00+00:00,110.2,0.97,1.94
2025-01-01 07:00:00+00:00,,0.0,0.0
2025-01-01 07:05:00+00:00,,0.0,0.0
2025-01-01 07:10:00+00:00,112.4,0.58,2.14
2025-01-01 07:15:00+00:00,72.1,0.39,1.75
2025-01-01 07:20:00+00:00,,0.0,0.0
2025-01-01 07:25:00+00:00,,0.0,0.0
2025-01-01 07:30:00+00:00,,0.0,0.0
2025-01-01 07:35:00+00:00,,0.0,0.0
2025-01-01 07:40:00+00:00,,0.0,0.0
2025-01-01 07:45:00+00:00,94.4,0.97,2.14
2025-01-01 07:50:00+00:00,91.4,1.36,2.14
2025-01-01 07:55:00+00:00,76.0,1.56,2.14
2025-01-01 08:00:00+00:00,67.5,0.39,1.94
2025-01-01 08:05:00+00:00,120.2,0.78,1.36
2025-01-01 08:10:00+00:00,92.5,1.36,1.94
2025-01-01 08:15:00+00:00,82.9,1.56,2.14
2025-01-01 08:20:00+00:00,96.2,1.75,2.53
2025-01-01 08:25:00+00:00,85.7,1.36,2.53
2025-01-01 08:30:00+00:00,88.6,1.36,2.14
2025-01-01 08:35:00+00:00,97.2,1.36,2.53
2025-01-01 08:40:00+00:00,84.7,1.56,2.33
2025-01-01 08:45:00+00:00,86.5,1.75,2.33
2025-01-01 08:50:00+00:00,92.6,1.56,2.92
2025-01-01 08:55:00+00:00,98.5,0.97,1.94
2025-01-01 09:00:00+00:00,95.3,0.97,2.33
2025-01-01 09:05:00+00:00,98.0,0.97,1.94
2025-01-01 09:10:00+00:00,96.0,1.36,2.33
2025-01-01 09:15:00+00:00,89.7,1.36,2.53
2025-01-01 09:20:00+00:00,99.5,1.56,2.72
2025-01-01 09:25:00+00:00,94.4,1.17,2.33
2025-01-01 09:30:00+00:00,98.3,1.17,2.33
2025-01-01 09:35:00+00:00,92.1,1.36,2.53
2025-01-01 09:40:00+00:00,98.7,0.97,2.14
2025-01-01 09:45:00+00:00,105.7,0.97,1.75
2025-01-01 09:50:00+00:00,98.0,1.17,2.14
2025-01-01 09:55:00+00:00,90.6,1.17,2.53
2025-01-01 10:00:00+00:00,84.2,1.56,2.33
2025-01-01 10:05:00+00:00,105.3,0.78,1.94
2025-01-01 10:10:00+00:00,288.6,0.39,1.75
2025-01-01 10:15:00+00:00,,0.0,0.58
2025-01-01 10:20:00+00:00,,0.0,0.0
2025-01-01 10:25:00+00:00,204.0,0.19,0.97
2025-01-01 10:30:00+00:00,,0.0,0.39
2025-01-01 10:35:00+00:00,,0.0,0.0
2025-01-01 10:40:00+00:00,83.8,0.19,1.36
2025-01-01 10:45:00+00:00,115.5,1.17,1.94
2025-01-01 10:50:00+00:00,74.2,0.19,1.36
2025-01-01 10:55:00+00:00,203.8,0.97,1.75
2025-01-01 11:00:00+00:00,,0.0,0.0
2025-01-01 11:05:00+00:00,,0.0,0.0
2025-01-01 11:10:00+00:00,113.6,0.39,1.56
2025-01-01 11:15:00+00:00,109.4,1.17,1.75
2025-01-01 11:20:00+00:00,95.7,1.36,2.53
2025-01-01 11:25:00+00:00,124.5,1.36,2.33
2025-01-01 11:30:00+00:00,161.6,0.58,1.75
2025-01-01 11:35:00+00:00,129.9,0.78,1.56
2025-01-01 11:40:00+00:00,59.2,0.58,1.56
2025-01-01 11:45:00+00:00,194.8,0.19,1.17
2025-01-01 11:50:00+00:00,,0.0,0.0
2025-01-01 11:55:00+00:00,,0.0,0.0
2025-01-01 12:00:00+00:00,,0.0,0.0
