timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:00:00+00:00,,7.56,16.25
2025-01-01 01:00:00+00:00,,7.65,14.16
2025-01-01 02:00:00+00:00,,6.08,12.86
2025-01-01 03:00:00+00:00,,5.65,11.99
2025-01-01 04:00:00+00:00,,6.0,12.6
2025-01-01 05:00:00+00:00,,7.39,13.82
2025-01-01 06:00:00+00:00,,7.56,15.64
2025-01-01 07:00:00+00:00,,8.17,14.42
2025-01-01 08:00:00+00:00,,8.52,16.68
2025-01-01 09:00:00+00:00,,7.82,13.82
2025-01-01 10:00:00+00:00,,8.25,14.08
2025-01-01 11:00:00+00:00,,2.95,8.52
2025-01-01 12:00:00+00:00,,6.43,13.99
2025-01-01 13:00:00+00:00,,6.69,13.29
2025-01-01 14:00:00+00:00,,,
2025-01-01 15:00:00+00:00,,8.52,13.82
2025-01-01 16:00:00+00:00,,7.73,12.86
2025-01-01 17:00:00+00:00,,7.39,13.38
2025-01-01 18:00:00+00:00,,7.91,14.42
2025-01-01 19:00:00+00:00,,5.91,11.82
2025-01-01 20:00:00+00:00,,2.43,8.69
2025-01-01 21:00:00+00:00,,2.0,8.86
2025-01-01 22:00:00+00:00,,2.17,7.21
2025-01-01 23:00:00+00:00,,1.04,4.08
2025-01-02 00:00:00+00:00,,0.78,4.26
