timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:00:00+00:00,15.0,2.95,7.73
2025-01-01 01:00:00+00:00,355.0,3.65,8.17
2025-01-01 02:00:00+00:00,360.0,3.48,8.95
2025-01-01 03:00:00+00:00,351.0,2.52,5.91
2025-01-01 04:00:00+00:00,350.0,1.65,4.52
2025-01-01 05:00:00+00:00,341.0,1.91,4.08
2025-01-01 06:00:00+00:00,355.0,2.26,4.43
2025-01-01 07:00:00+00:00,336.0,3.39,5.56
2025-01-01 08:00:00+00:00,344.0,4.43,6.6
2025-01-01 09:00:00+00:00,339.0,4.34,6.52
2025-01-01 10:00:00+00:00,338.0,2.78,4.87
2025-01-01 11:00:00+00:00,337.0,2.43,4.08
2025-01-01 12:00:00+00:00,348.0,3.3,6.95
2025-01-01 13:00:00+00:00,348.0,4.69,7.3
2025-01-01 14:00:00+00:00,357.0,4.87,7.3
2025-01-01 15:00:00+00:00,344.0,2.87,6.17
2025-01-01 16:00:00+00:00,338.0,3.21,4.78
2025-01-01 17:00:00+00:00,351.0,4.34,7.04
2025-01-01 18:00:00+00:00,342.0,3.39,5.04
2025-01-01 19:00:00+00:00,340.0,3.65,4.95
2025-01-01 20:00:00+00:00,347.0,3.56,5.91
2025-01-01 21:00:00+00:00,338.0,3.13,4.43
2025-01-01 22:00:00+00:00,347.0,3.56,5.21
2025-01-01 23:00:00+00:00,1.0,4.17,9.04
2025-01-02 00:00:00+00:00,2.0,4.95,8.43
