timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:00:00+00:00,14.3,6.72,14.22
2025-01-01 01:00:00+00:00,17.63,5.82,12.76
2025-01-01 02:00:00+00:00,21.05,4.92,12.64
2025-01-01 03:00:00+00:00,25.44,5.44,13.27
2025-01-01 04:00:00+00:00,28.57,4.73,12.26
2025-01-01 05:00:00+00:00,24.53,5.61,13.14
2025-01-01 06:00:00+00:00,30.64,3.91,12.83
2025-01-01 07:00:00+00:00,28.82,3.21,9.33
2025-01-01 08:00:00+00:00,29.95,3.67,12.57
2025-01-01 09:00:00+00:00,29.87,3.39,10.16
2025-01-01 10:00:00+00:00,32.1,3.96,12.07
2025-01-01 11:00:00+00:00,28.05,4.33,11.43
2025-01-01 12:00:00+00:00,34.78,4.24,12.38
2025-01-01 13:00:00+00:00,35.42,3.94,12.45
2025-01-01 14:00:00+00:00,33.61,4.44,11.87
2025-01-01 15:00:00+00:00,32.51,3.25,8.51
2025-01-01 16:00:00+00:00,23.56,2.61,9.52
2025-01-01 17:00:00+00:00,31.78,2.29,8.38
2025-01-01 18:00:00+00:00,24.02,3.06,9.97
2025-01-01 19:00:00+00:00,28.47,3.11,9.84
2025-01-01 20:00:00+00:00,39.05,2.98,10.1
2025-01-01 21:00:00+00:00,30.7,3.49,10.73
2025-01-01 22:00:00+00:00,31.78,3.81,10.54
2025-01-01 23:00:00+00:00,34.08,3.0,11.49
2025-01-02 00:00:00+00:00,27.71,3.72,11.24
