timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:00:00+00:00,190.0,3.13,5.21
2025-01-01 01:00:00+00:00,201.0,4.61,6.52
2025-01-01 02:00:00+00:00,179.0,4.43,7.82
2025-01-01 03:00:00+00:00,126.0,8.43,14.16
2025-01-01 04:00:00+00:00,136.0,6.17,10.17
2025-01-01 05:00:00+00:00,137.0,6.43,10.95
2025-01-01 06:00:00+00:00,127.0,5.47,11.56
2025-01-01 07:00:00+00:00,,,
2025-01-01 09:00:00+00:00,136.0,7.39,11.21
2025-01-01 10:00:00+00:00,140.0,6.78,11.9
2025-01-01 11:00:00+00:00,134.0,8.86,12.51
2025-01-01 12:00:00+00:00,164.0,6.86,11.64
2025-01-01 13:00:00+00:00,130.0,7.82,12.08
2025-01-01 14:00:00+00:00,125.0,8.25,12.16
2025-01-01 15:00:00+00:00,129.0,6.17,10.43
2025-01-01 16:00:00+00:00,136.0,2.95,7.04
2025-01-01 17:00:00+00:00,101.0,3.21,6.6
2025-01-01 18:00:00+00:00,93.0,7.04,10.51
2025-01-01 19:00:00+00:00,124.0,7.21,9.3
2025-01-01 20:00:00+00:00,115.0,4.34,6.78
2025-01-01 21:00:00+00:00,94.0,4.0,5.3
2025-01-01 22:00:00+00:00,79.0,4.34,6.69
2025-01-01 23:00:00+00:00,238.0,1.48,3.3
2025-01-02 00:00:00+00:00,123.0,1.56,2.87
