timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:00:00+00:00,274.0,2.0,6.43
2025-01-01 01:00:00+00:00,256.0,3.3,7.3
2025-01-01 02:00:00+00:00,265.0,1.65,4.43
2025-01-01 03:00:00+00:00,253.0,1.48,5.13
2025-01-01 04:00:00+00:00,218.0,2.95,5.65
2025-01-01 05:00:00+00:00,243.0,2.43,4.87
2025-01-01 06:00:00+00:00,219.0,3.04,6.6
2025-01-01 07:00:00+00:00,,,
2025-01-01 08:00:00+00:00,295.0,2.78,4.61
2025-01-01 09:00:00+00:00,236.0,2.78,5.39
2025-01-01 10:00:00+00:00,193.0,4.17,7.65
2025-01-01 11:00:00+00:00,168.0,5.56,9.91
2025-01-01 12:00:00+00:00,241.0,3.48,9.47
2025-01-01 13:00:00+00:00,185.0,5.65,9.99
2025-01-01 14:00:00+00:00,165.0,6.69,9.91
2025-01-01 15:00:00+00:00,262.0,2.61,7.73
2025-01-01 16:00:00+00:00,274.0,1.65,3.56
2025-01-01 17:00:00+00:00,276.0,1.56,3.65
2025-01-01 18:00:00+00:00,282.0,1.48,4.34
2025-01-01 19:00:00+00:00,256.0,2.0,4.34
2025-01-01 20:00:00+00:00,260.0,1.82,4.26
2025-01-01 21:00:00+00:00,253.0,1.74,3.56
2025-01-01 22:00:00+00:00,270.0,1.48,3.82
2025-01-01 23:00:00+00:00,282.0,1.74,4.87
2025-01-02 00:00:00+00:00,284.0,1.48,3.3
