timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:00:00+00:00,80.0,15.12,21.6
2025-01-01 00:10:00+00:00,80.0,13.5,19.98
2025-01-01 00:20:00+00:00,75.0,14.04,18.36
2025-01-01 01:40:00+00:00,,,
2025-01-01 04:30:00+00:00,75.0,12.42,
2025-01-01 04:40:00+00:00,60.0,9.18,15.66
2025-01-01 06:40:00+00:00,60.0,12.42,
2025-01-01 06:50:00+00:00,65.0,12.96,16.74
2025-01-01 07:00:00+00:00,60.0,11.88,18.36
2025-01-01 07:10:00+00:00,70.0,10.26,19.44
2025-01-01 07:20:00+00:00,55.0,10.26,16.2
2025-01-01 07:30:00+00:00,60.0,10.26,16.74
2025-01-01 07:40:00+00:00,80.0,9.72,15.66
2025-01-01 07:50:00+00:00,65.0,10.26,16.2
2025-01-01 08:10:00+00:00,75.0,8.64,
2025-01-01 08:20:00+00:00,70.0,9.72,14.58
2025-01-01 08:30:00+00:00,65.0,10.8,15.66
2025-01-01 08:40:00+00:00,80.0,10.26,15.12
2025-01-01 08:50:00+00:00,70.0,11.34,16.2
2025-01-01 09:00:00+00:00,85.0,8.64,15.66
2025-01-01 09:10:00+00:00,80.0,9.72,15.66
2025-01-01 09:20:00+00:00,80.0,11.34,15.12
2025-01-01 09:30:00+00:00,85.0,12.96,18.36
2025-01-01 09:40:00+00:00,80.0,10.8,17.28
2025-01-01 09:50:00+00:00,80.0,8.1,18.36
2025-01-01 10:00:00+00:00,80.0,11.34,16.74
2025-01-01 10:10:00+00:00,75.0,10.26,15.12
2025-01-01 10:20:00+00:00,80.0,9.18,17.28
2025-01-01 10:30:00+00:00,80.0,10.8,16.2
2025-01-01 10:40:00+00:00,85.0,7.02,14.58
2025-01-01 10:50:00+00:00,85.0,8.64,14.58
2025-01-01 11:00:00+00:00,85.0,9.18,14.04
2025-01-01 11:10:00+00:00,80.0,7.56,13.5
2025-01-01 11:20:00+00:00,75.0,10.26,14.04
2025-01-01 11:30:00+00:00,55.0,8.1,12.96
2025-01-01 11:40:00+00:00,70.0,5.4,10.8
2025-01-01 11:50:00+00:00,100.0,5.4,8.64
2025-01-01 12:00:00+00:00,110.0,3.24,9.18
2025-01-01 12:10:00+00:00,80.0,6.48,9.18
2025-01-01 12:20:00+00:00,75.0,7.56,13.5
2025-01-01 12:30:00+00:00,80.0,10.26,14.58
2025-01-01 12:40:00+00:00,85.0,8.1,14.04
2025-01-01 12:50:00+00:00,65.0,6.48,14.04
2025-01-01 13:00:00+00:00,85.0,7.56,11.34
2025-01-01 13:10:00+00:00,80.0,7.56,11.34
2025-01-01 13:20:00+00:00,115.0,7.02,13.5
2025-01-01 13:30:00+00:00,100.0,8.64,15.66
2025-01-01 13:40:00+00:00,95.0,9.18,12.96
2025-01-01 13:50:00+00:00,100.0,9.72,11.88
2025-01-01 14:00:00+00:00,85.0,8.1,11.34
2025-01-01 14:10:00+00:00,65.0,8.64,11.34
2025-01-01 14:20:00+00:00,90.0,8.64,14.04
2025-01-01 14:30:00+00:00,85.0,7.02,11.88
2025-01-01 14:40:00+00:00,90.0,8.1,12.96
2025-01-01 14:50:00+00:00,95.0,8.1,11.88
2025-01-01 15:00:00+00:00,60.0,5.94,10.26
2025-01-01 15:10:00+00:00,80.0,5.94,10.8
2025-01-01 15:20:00+00:00,70.0,8.64,11.34
2025-01-01 15:30:00+00:00,75.0,8.1,12.42
2025-01-01 15:40:00+00:00,95.0,8.1,10.8
2025-01-01 15:50:00+00:00,85.0,8.1,10.8
2025-01-01 16:00:00+00:00,95.0,6.48,13.5
2025-01-01 16:10:00+00:00,110.0,4.86,8.1
2025-01-01 16:20:00+00:00,105.0,5.94,8.64
2025-01-01 16:30:00+00:00,80.0,6.48,10.26
2025-01-01 16:40:00+00:00,95.0,7.02,10.26
2025-01-01 16:50:00+00:00,85.0,10.8,12.42
2025-01-01 17:00:00+00:00,90.0,8.64,16.2
2025-01-01 17:10:00+00:00,80.0,8.1,11.88
2025-01-01 17:20:00+00:00,90.0,10.8,13.5
2025-01-01 17:30:00+00:00,80.0,6.48,10.8
2025-01-01 17:40:00+00:00,105.0,6.48,9.72
2025-01-01 17:50:00+00:00,60.0,7.02,10.8
2025-01-01 18:00:00+00:00,65.0,8.64,10.26
2025-01-01 18:10:00+00:00,85.0,7.56,9.72
2025-01-01 18:20:00+00:00,60.0,7.02,10.8
2025-01-01 18:30:00+00:00,80.0,7.56,9.72
2025-01-01 18:40:00+00:00,50.0,5.4,9.72
2025-01-01 18:50:00+00:00,75.0,7.02,9.72
2025-01-01 19:00:00+00:00,65.0,6.48,8.64
2025-01-01 19:10:00+00:00,60.0,8.1,13.5
2025-01-01 19:20:00+00:00,35.0,9.18,10.8
2025-01-01 19:30:00+00:00,40.0,7.02,11.34
2025-01-01 19:40:00+00:00,65.0,6.48,12.42
2025-01-01 19:50:00+00:00,60.0,6.48,9.18
2025-01-01 20:00:00+00:00,55.0,6.48,10.26
2025-01-01 20:10:00+00:00,40.0,4.32,8.64
2025-01-01 20:20:00+00:00,65.0,5.94,9.18
2025-01-01 20:30:00+00:00,60.0,7.56,10.8
2025-01-01 20:40:00+00:00,45.0,8.64,12.42
2025-01-01 20:50:00+00:00,60.0,8.1,12.42
2025-01-01 21:00:00+00:00,65.0,8.64,10.26
2025-01-01 21:10:00+00:00,80.0,6.48,10.8
2025-01-01 21:20:00+00:00,70.0,6.48,8.64
2025-01-01 21:30:00+00:00,80.0,6.48,8.64
2025-01-01 21:40:00+00:00,70.0,6.48,9.72
2025-01-01 21:50:00+00:00,90.0,5.94,8.64
2025-01-01 22:00:00+00:00,90.0,4.86,7.56
2025-01-01 22:10:00+00:00,75.0,6.48,8.64
2025-01-01 22:20:00+00:00,75.0,6.48,8.1
2025-01-01 22:30:00+00:00,85.0,4.32,6.48
2025-01-01 23:10:00+00:00,,,
2025-01-01 23:20:00+00:00,,0.0,3.78
2025-01-01 23:30:00+00:00,95.0,0.54,2.7
2025-01-01 23:40:00+00:00,,0.0,3.24
2025-01-01 23:50:00+00:00,260.0,1.62,2.16
2025-01-02 00:00:00+00:00,300.0,0.54,2.7
