timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:08:00+00:00,76.0,13.03,21.72
2025-01-01 00:28:00+00:00,74.0,13.9,16.51
2025-01-01 00:48:00+00:00,86.0,17.38,17.38
2025-01-01 01:08:00+00:00,57.0,18.25,20.85
2025-01-01 01:28:00+00:00,69.0,12.16,19.12
2025-01-01 01:48:00+00:00,69.0,16.51,17.38
2025-01-01 02:08:00+00:00,81.0,8.69,14.77
2025-01-01 02:28:00+00:00,62.0,13.03,13.9
2025-01-01 02:48:00+00:00,257.0,3.48,5.21
2025-01-01 03:08:00+00:00,90.0,14.77,16.51
2025-01-01 03:28:00+00:00,85.0,9.56,11.3
2025-01-01 03:48:00+00:00,141.0,5.21,17.38
2025-01-01 04:08:00+00:00,66.0,13.03,13.03
2025-01-01 04:28:00+00:00,86.0,16.51,17.38
2025-01-01 04:48:00+00:00,85.0,15.64,16.51
2025-01-01 05:08:00+00:00,243.0,1.74,4.34
2025-01-01 05:28:00+00:00,221.0,0.87,6.08
2025-01-01 05:48:00+00:00,338.0,3.48,8.69
2025-01-01 06:08:00+00:00,2.0,4.34,5.21
2025-01-01 06:28:00+00:00,286.0,3.48,7.82
2025-01-01 06:48:00+00:00,232.0,5.21,8.69
2025-01-01 07:08:00+00:00,297.0,2.61,5.21
2025-01-01 07:28:00+00:00,125.0,9.56,9.56
2025-01-01 07:48:00+00:00,337.0,2.61,7.82
2025-01-01 08:08:00+00:00,83.0,1.74,5.21
2025-01-01 08:28:00+00:00,,0.0,5.21
2025-01-01 08:48:00+00:00,133.0,6.95,15.64
2025-01-01 09:08:00+00:00,57.0,7.82,13.03
2025-01-01 09:28:00+00:00,77.0,15.64,15.64
2025-01-01 09:48:00+00:00,95.0,13.03,14.77
2025-01-01 10:08:00+00:00,26.0,6.08,17.38
2025-01-01 10:28:00+00:00,71.0,5.21,18.25
2025-01-01 10:48:00+00:00,90.0,9.56,14.77
2025-01-01 11:08:00+00:00,129.0,4.34,19.98
2025-01-01 11:28:00+00:00,271.0,3.48,12.16
2025-01-01 11:48:00+00:00,235.0,6.08,6.08
2025-01-01 12:08:00+00:00,273.0,3.48,4.34
2025-01-01 12:28:00+00:00,236.0,6.95,6.95
2025-01-01 12:48:00+00:00,200.0,2.61,6.08
2025-01-01 13:08:00+00:00,311.0,2.61,5.21
2025-01-01 13:28:00+00:00,232.0,6.95,6.95
2025-01-01 13:48:00+00:00,248.0,2.61,8.69
2025-01-01 14:08:00+00:00,224.0,4.34,6.08
2025-01-01 14:28:00+00:00,204.0,7.82,7.82
2025-01-01 14:48:00+00:00,258.0,2.61,8.69
2025-01-01 15:08:00+00:00,222.0,3.48,7.82
2025-01-01 15:28:00+00:00,251.0,4.34,8.69
2025-01-01 15:48:00+00:00,258.0,4.34,6.95
2025-01-01 16:08:00+00:00,215.0,6.95,7.82
2025-01-01 16:28:00+00:00,217.0,9.56,9.56
2025-01-01 16:48:00+00:00,227.0,6.95,6.95
2025-01-01 17:08:00+00:00,220.0,6.95,10.43
2025-01-01 17:28:00+00:00,230.0,6.95,6.95
2025-01-01 17:48:00+00:00,219.0,9.56,9.56
2025-01-01 18:08:00+00:00,199.0,6.95,8.69
2025-01-01 18:28:00+00:00,227.0,6.08,6.95
2025-01-01 18:48:00+00:00,216.0,6.95,6.95
2025-01-01 19:08:00+00:00,230.0,6.08,8.69
2025-01-01 19:28:00+00:00,206.0,6.95,9.56
2025-01-01 19:48:00+00:00,229.0,6.08,7.82
2025-01-01 20:28:00+00:00,191.0,7.82,10.43
2025-01-01 20:48:00+00:00,204.0,8.69,8.69
2025-01-01 21:08:00+00:00,235.0,7.82,8.69
2025-01-01 21:28:00+00:00,211.0,5.21,6.08
2025-01-01 21:48:00+00:00,186.0,6.08,7.82
2025-01-01 22:08:00+00:00,182.0,6.08,6.95
2025-01-01 22:28:00+00:00,200.0,5.21,5.21
2025-01-01 22:48:00+00:00,201.0,6.08,7.82
2025-01-01 23:08:00+00:00,180.0,5.21,6.95
2025-01-01 23:28:00+00:00,234.0,0.87,4.34
2025-01-01 23:48:00+00:00,227.0,1.74,4.34
