timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 02:02:00+00:00,162.0,5.44,
2025-01-01 02:12:00+00:00,140.0,2.91,6.02
2025-01-01 02:22:00+00:00,170.0,5.44,7.58
2025-01-01 02:32:00+00:00,144.0,3.88,4.47
2025-01-01 02:42:00+00:00,150.0,3.69,5.44
2025-01-01 02:52:00+00:00,150.0,2.91,4.08
2025-01-01 03:02:00+00:00,152.0,3.69,
2025-01-01 03:12:00+00:00,131.0,2.72,3.69
2025-01-01 03:22:00+00:00,138.0,4.27,5.44
2025-01-01 03:32:00+00:00,150.0,6.02,6.99
2025-01-01 03:42:00+00:00,161.0,4.86,5.44
2025-01-01 03:52:00+00:00,164.0,5.44,
2025-01-01 04:02:00+00:00,160.0,6.02,12.04
2025-01-01 04:12:00+00:00,161.0,6.99,7.96
2025-01-01 04:22:00+00:00,160.0,6.02,6.99
2025-01-01 04:32:00+00:00,150.0,2.91,7.96
2025-01-01 04:42:00+00:00,160.0,7.96,13.01
2025-01-01 04:52:00+00:00,160.0,6.99,11.07
2025-01-01 05:02:00+00:00,140.0,4.08,8.94
2025-01-01 05:12:00+00:00,136.0,4.27,5.63
2025-01-01 05:22:00+00:00,153.0,4.86,6.02
2025-01-01 05:32:00+00:00,160.0,2.91,4.08
2025-01-01 05:42:00+00:00,160.0,4.08,7.96
2025-01-01 05:52:00+00:00,150.0,2.91,6.02
2025-01-01 06:02:00+00:00,120.0,1.94,2.91
2025-01-01 06:12:00+00:00,182.0,3.5,3.69
2025-01-01 06:22:00+00:00,91.0,3.3,4.66
2025-01-01 06:32:00+00:00,150.0,2.91,2.91
2025-01-01 06:42:00+00:00,150.0,2.91,6.99
2025-01-01 06:52:00+00:00,170.0,2.91,6.02
2025-01-01 07:02:00+00:00,140.0,2.91,
2025-01-01 07:12:00+00:00,168.0,2.33,3.5
2025-01-01 07:22:00+00:00,160.0,4.08,6.02
2025-01-01 07:32:00+00:00,70.0,2.91,6.02
2025-01-01 07:42:00+00:00,150.0,2.91,
2025-01-01 07:52:00+00:00,100.0,2.91,4.08
2025-01-01 08:02:00+00:00,100.0,5.05,9.91
2025-01-01 08:12:00+00:00,127.0,3.69,4.08
2025-01-01 08:22:00+00:00,166.0,2.72,6.02
2025-01-01 08:32:00+00:00,140.0,2.91,6.02
2025-01-01 08:42:00+00:00,160.0,5.05,9.91
2025-01-01 08:52:00+00:00,140.0,4.08,7.96
2025-01-01 09:02:00+00:00,120.0,4.08,6.02
2025-01-01 09:12:00+00:00,164.0,4.27,5.83
2025-01-01 09:22:00+00:00,160.0,5.05,8.94
2025-01-01 09:32:00+00:00,140.0,2.91,4.08
2025-01-01 09:42:00+00:00,140.0,4.08,4.08
2025-01-01 09:52:00+00:00,120.0,2.91,2.91
2025-01-01 10:02:00+00:00,160.0,4.08,6.02
2025-01-01 10:12:00+00:00,136.0,2.91,4.27
2025-01-01 10:22:00+00:00,130.0,2.91,4.08
2025-01-01 10:32:00+00:00,190.0,2.91,5.05
2025-01-01 10:42:00+00:00,280.0,4.08,5.05
2025-01-01 10:52:00+00:00,340.0,2.91,2.91
2025-01-01 11:02:00+00:00,40.0,1.94,2.91
2025-01-01 11:12:00+00:00,350.0,3.11,5.63
2025-01-01 11:22:00+00:00,319.0,3.11,5.83
2025-01-01 11:32:00+00:00,320.0,4.08,6.99
2025-01-01 11:42:00+00:00,320.0,2.91,2.91
2025-01-01 11:52:00+00:00,30.0,1.94,2.91
2025-01-01 12:02:00+00:00,340.0,1.94,4.08
2025-01-01 12:12:00+00:00,355.0,2.33,3.69
2025-01-01 12:22:00+00:00,294.0,2.14,5.24
2025-01-01 12:32:00+00:00,310.0,2.91,4.08
2025-01-01 12:42:00+00:00,40.0,2.91,
2025-01-01 12:52:00+00:00,330.0,2.91,5.05
2025-01-01 13:02:00+00:00,300.0,2.91,4.08
2025-01-01 13:12:00+00:00,2.0,3.11,4.47
2025-01-01 13:22:00+00:00,320.0,2.53,3.69
2025-01-01 13:32:00+00:00,360.0,1.94,2.91
2025-01-01 13:42:00+00:00,320.0,2.91,4.08
2025-01-01 13:52:00+00:00,20.0,1.94,2.91
