timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:15:00+00:00,65.0,3.24,8.1
2025-01-01 00:30:00+00:00,20.0,3.78,6.48
2025-01-01 00:45:00+00:00,70.0,1.08,8.64
2025-01-01 01:00:00+00:00,50.0,2.7,9.18
2025-01-01 01:15:00+00:00,110.0,7.02,10.8
2025-01-01 01:30:00+00:00,25.0,4.86,8.64
2025-01-01 01:45:00+00:00,25.0,5.94,9.72
2025-01-01 02:00:00+00:00,40.0,3.78,9.18
2025-01-01 02:15:00+00:00,15.0,3.78,6.48
2025-01-01 02:30:00+00:00,50.0,5.4,8.64
2025-01-01 02:45:00+00:00,20.0,3.78,11.34
2025-01-01 03:00:00+00:00,20.0,4.86,8.64
2025-01-01 03:15:00+00:00,0.0,4.32,8.64
2025-01-01 03:30:00+00:00,15.0,3.24,10.26
2025-01-01 03:45:00+00:00,30.0,5.94,10.8
2025-01-01 04:00:00+00:00,35.0,5.94,11.34
2025-01-01 04:15:00+00:00,55.0,5.94,10.26
2025-01-01 04:30:00+00:00,30.0,2.7,11.88
2025-01-01 04:45:00+00:00,25.0,2.16,5.4
2025-01-01 05:00:00+00:00,60.0,5.94,10.8
2025-01-01 05:15:00+00:00,70.0,3.78,8.64
2025-01-01 05:30:00+00:00,45.0,4.86,9.72
2025-01-01 05:45:00+00:00,50.0,7.56,12.96
2025-01-01 06:00:00+00:00,55.0,5.94,12.96
2025-01-01 06:15:00+00:00,25.0,2.7,7.56
2025-01-01 06:30:00+00:00,70.0,4.32,7.56
2025-01-01 06:45:00+00:00,50.0,5.4,7.56
2025-01-01 07:00:00+00:00,35.0,2.7,7.56
2025-01-01 07:15:00+00:00,60.0,5.94,10.26
2025-01-01 07:30:00+00:00,20.0,3.78,10.26
2025-01-01 07:45:00+00:00,50.0,1.62,8.64
2025-01-01 08:00:00+00:00,25.0,3.78,10.26
2025-01-01 08:15:00+00:00,5.0,2.16,7.02
2025-01-01 08:30:00+00:00,5.0,1.62,7.56
2025-01-01 08:45:00+00:00,15.0,1.62,6.48
2025-01-01 09:00:00+00:00,40.0,2.7,5.4
2025-01-01 09:15:00+00:00,75.0,6.48,13.5
2025-01-01 09:30:00+00:00,55.0,5.4,10.8
2025-01-01 09:45:00+00:00,60.0,5.94,11.34
2025-01-01 10:00:00+00:00,205.0,1.08,4.32
2025-01-01 10:15:00+00:00,55.0,3.78,10.26
2025-01-01 10:30:00+00:00,50.0,3.24,9.72
2025-01-01 10:45:00+00:00,40.0,2.7,7.02
2025-01-01 11:00:00+00:00,0.0,1.62,6.48
2025-01-01 11:15:00+00:00,0.0,3.78,7.56
2025-01-01 11:30:00+00:00,0.0,3.24,5.94
2025-01-01 11:45:00+00:00,10.0,1.62,8.1
2025-01-01 12:00:00+00:00,0.0,3.24,6.48
2025-01-01 12:15:00+00:00,0.0,3.24,4.86
2025-01-01 12:30:00+00:00,0.0,2.16,4.32
2025-01-01 12:45:00+00:00,20.0,2.7,4.86
2025-01-01 13:00:00+00:00,0.0,1.62,3.78
2025-01-01 13:15:00+00:00,50.0,2.7,5.4
2025-01-01 13:30:00+00:00,5.0,1.62,4.32
2025-01-01 13:45:00+00:00,255.0,0.54,3.78
2025-01-01 14:00:00+00:00,105.0,1.62,5.94
2025-01-01 14:15:00+00:00,0.0,2.7,9.72
2025-01-01 14:30:00+00:00,355.0,3.78,8.1
2025-01-01 14:45:00+00:00,0.0,2.7,7.56
2025-01-01 15:00:00+00:00,325.0,1.62,5.4
2025-01-01 15:15:00+00:00,0.0,5.4,9.18
2025-01-01 15:30:00+00:00,35.0,4.32,7.02
2025-01-01 15:45:00+00:00,345.0,4.32,5.94
2025-01-01 16:00:00+00:00,0.0,4.32,8.64
2025-01-01 16:15:00+00:00,335.0,3.78,8.64
2025-01-01 16:30:00+00:00,0.0,3.78,8.64
2025-01-01 16:45:00+00:00,20.0,2.7,8.64
2025-01-01 17:00:00+00:00,50.0,1.62,7.56
2025-01-01 17:15:00+00:00,70.0,2.16,7.56
2025-01-01 17:30:00+00:00,70.0,6.48,8.64
2025-01-01 17:45:00+00:00,50.0,4.86,10.26
2025-01-01 18:00:00+00:00,70.0,3.24,8.1
2025-01-01 18:15:00+00:00,5.0,2.16,7.56
2025-01-01 18:30:00+00:00,10.0,3.24,5.94
2025-01-01 18:45:00+00:00,65.0,3.24,4.86
2025-01-01 19:00:00+00:00,5.0,2.7,5.4
2025-01-01 19:15:00+00:00,350.0,1.62,2.7
2025-01-01 19:30:00+00:00,15.0,0.54,2.7
2025-01-01 19:45:00+00:00,,0.0,3.24
2025-01-01 20:00:00+00:00,5.0,1.62,2.16
2025-01-01 20:15:00+00:00,20.0,1.08,2.7
2025-01-01 20:30:00+00:00,,0.0,3.24
2025-01-01 20:45:00+00:00,5.0,1.08,2.16
2025-01-01 21:00:00+00:00,75.0,2.16,5.4
2025-01-01 21:15:00+00:00,105.0,1.62,4.32
2025-01-01 21:30:00+00:00,120.0,1.08,4.86
2025-01-01 21:45:00+00:00,,0.0,1.08
2025-01-01 22:00:00+00:00,350.0,1.08,7.56
2025-01-01 22:15:00+00:00,,0.0,1.62
2025-01-01 22:30:00+00:00,0.0,1.08,4.86
2025-01-01 22:45:00+00:00,,0.0,1.62
2025-01-01 23:00:00+00:00,0.0,0.54,1.62
2025-01-01 23:15:00+00:00,335.0,1.62,2.7
2025-01-01 23:30:00+00:00,0.0,1.08,2.16
2025-01-01 23:45:00+00:00,,0.0,1.08
