timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:00:00+00:00,154.4,0.97,1.36
2025-01-01 00:05:00+00:00,154.6,1.94,2.14
2025-01-01 00:10:00+00:00,154.2,1.75,2.14
2025-01-01 00:15:00+00:00,146.0,1.36,1.75
2025-01-01 00:20:00+00:00,139.4,0.97,1.36
2025-01-01 00:25:00+00:00,152.9,0.97,1.56
2025-01-01 00:30:00+00:00,155.0,1.36,1.75
2025-01-01 00:35:00+00:00,156.4,1.17,1.56
2025-01-01 00:40:00+00:00,154.8,0.58,1.17
2025-01-01 00:45:00+00:00,164.4,0.78,1.75
2025-01-01 00:50:00+00:00,142.1,0.19,0.78
2025-01-01 00:55:00+00:00,166.2,1.17,1.75
2025-01-01 01:00:00+00:00,158.8,1.36,1.75
2025-01-01 01:05:00+00:00,177.2,1.56,2.33
2025-01-01 01:10:00+00:00,167.9,1.75,2.72
2025-01-01 01:15:00+00:00,157.5,1.75,2.33
2025-01-01 01:20:00+00:00,152.0,1.17,1.75
2025-01-01 01:25:00+00:00,180.4,0.97,1.56
2025-01-01 01:30:00+00:00,153.1,1.56,2.92
2025-01-01 01:35:00+00:00,154.1,1.36,1.94
2025-01-01 01:40:00+00:00,167.5,1.36,1.75
2025-01-01 01:45:00+00:00,158.1,1.75,2.53
2025-01-01 01:50:00+00:00,163.7,1.94,2.92
2025-01-01 01:55:00+00:00,159.3,1.56,2.53
2025-01-01 02:00:00+00:00,165.5,1.17,1.94
2025-01-01 02:05:00+00:00,154.2,1.56,2.14
2025-01-01 02:10:00+00:00,154.1,1.17,1.75
2025-01-01 02:15:00+00:00,145.1,0.97,1.56
2025-01-01 02:20:00+00:00,144.2,1.36,1.75
2025-01-01 02:25:00+00:00,134.6,0.97,1.36
2025-01-01 02:30:00+00:00,140.9,0.78,1.36
2025-01-01 02:35:00+00:00,186.0,1.36,2.33
2025-01-01 02:40:00+00:00,196.5,0.97,1.94
2025-01-01 02:45:00+00:00,176.0,0.58,1.17
2025-01-01 02:50:00+00:00,229.9,0.58,1.17
2025-01-01 02:55:00+00:00,169.4,0.58,1.17
2025-01-01 03:00:00+00:00,150.9,1.17,1.75
2025-01-01 03:05:00+00:00,151.9,1.75,2.14
2025-01-01 03:10:00+00:00,140.5,1.17,1.94
2025-01-01 03:15:00+00:00,133.6,1.36,1.94
2025-01-01 03:20:00+00:00,131.2,0.58,1.36
2025-01-01 03:25:00+00:00,149.1,0.39,0.97
2025-01-01 03:30:00+00:00,138.3,0.19,0.78
2025-01-01 03:35:00+00:00,175.7,1.36,1.94
2025-01-01 03:40:00+00:00,176.2,1.75,2.33
2025-01-01 03:45:00+00:00,144.8,1.56,2.14
2025-01-01 03:50:00+00:00,162.6,1.94,2.53
2025-01-01 03:55:00+00:00,160.1,1.75,2.14
2025-01-01 04:00:00+00:00,148.6,1.36,1.94
2025-01-01 04:05:00+00:00,167.7,0.78,1.75
2025-01-01 04:10:00+00:00,188.4,1.17,1.94
2025-01-01 04:15:00+00:00,187.8,0.97,1.94
2025-01-01 04:20:00+00:00,169.4,0.97,1.94
2025-01-01 04:25:00+00:00,166.4,1.75,2.33
2025-01-01 04:30:00+00:00,155.8,1.17,1.94
2025-01-01 04:35:00+00:00,155.6,0.97,1.75
2025-01-01 04:40:00+00:00,136.7,0.97,1.56
2025-01-01 04:45:00+00:00,151.2,0.58,1.17
2025-01-01 04:50:00+00:00,151.4,0.97,1.56
2025-01-01 04:55:00+00:00,167.6,0.97,1.56
2025-01-01 05:00:00+00:00,159.8,0.78,1.94
2025-01-01 05:05:00+00:00,150.8,1.17,2.14
2025-01-01 05:10:00+00:00,156.9,1.17,1.56
2025-01-01 05:15:00+00:00,147.9,1.36,2.53
2025-01-01 05:20:00+00:00,123.9,1.17,1.94
2025-01-01 05:25:00+00:00,125.4,0.78,1.56
2025-01-01 05:30:00+00:00,120.2,0.97,1.56
2025-01-01 05:35:00+00:00,142.6,0.19,0.97
2025-01-01 05:40:00+00:00,152.0,0.39,1.36
2025-01-01 05:45:00+00:00,151.7,0.97,1.94
2025-01-01 05:50:00+00:00,155.6,0.39,1.17
2025-01-01 05:55:00+00:00,157.1,0.78,1.75
2025-01-01 06:00:00+00:00,160.3,0.97,2.33
2025-01-01 06:05:00+00:00,149.7,0.97,2.14
2025-01-01 06:10:00+00:00,156.5,1.56,2.92
2025-01-01 06:15:00+00:00,160.6,1.75,2.14
2025-01-01 06:20:00+00:00,178.5,1.75,2.53
2025-01-01 06:25:00+00:00,171.6,1.36,1.94
2025-01-01 06:30:00+00:00,173.9,1.36,2.14
2025-01-01 06:35:00+00:00,165.3,1.75,2.72
2025-01-01 06:40:00+00:00,158.7,1.94,2.33
2025-01-01 06:45:00+00:00,167.7,1.94,2.92
2025-01-01 06:50:00+00:00,152.8,1.17,2.14
2025-01-01 06:55:00+00:00,141.9,1.17,1.75
2025-01-01 07:00:00+00:00,136.6,0.39,1.17
2025-01-01 07:05:00+00:00,142.0,0.97,1.75
2025-01-01 07:10:00+00:00,148.4,1.17,1.75
2025-01-01 07:15:00+00:00,165.7,1.17,1.94
2025-01-01 07:20:00+00:00,169.7,1.56,2.33
2025-01-01 07:25:00+00:00,170.4,1.17,1.56
2025-01-01 07:30:00+00:00,164.5,1.56,2.33
2025-01-01 07:35:00+00:00,151.6,0.97,1.36
2025-01-01 07:40:00+00:00,179.7,0.78,1.36
2025-01-01 07:45:00+00:00,227.1,0.58,1.36
