timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 00:00:00+00:00,155.0,8.1,16.74
2025-01-01 00:10:00+00:00,145.0,10.26,15.12
2025-01-01 00:20:00+00:00,55.0,1.08,16.74
2025-01-01 00:30:00+00:00,125.0,6.48,12.96
2025-01-01 00:40:00+00:00,135.0,2.7,14.58
2025-01-01 00:50:00+00:00,75.0,3.24,12.42
2025-01-01 01:00:00+00:00,25.0,3.24,10.26
2025-01-01 01:10:00+00:00,195.0,4.86,17.82
2025-01-01 01:20:00+00:00,110.0,3.78,9.72
2025-01-01 01:30:00+00:00,310.0,3.78,15.66
2025-01-01 01:40:00+00:00,155.0,3.78,14.58
2025-01-01 01:50:00+00:00,40.0,2.7,12.96
2025-01-01 02:00:00+00:00,175.0,7.56,14.04
2025-01-01 02:10:00+00:00,135.0,7.56,12.96
2025-01-01 02:20:00+00:00,215.0,5.4,17.82
2025-01-01 02:30:00+00:00,95.0,6.48,9.18
2025-01-01 02:40:00+00:00,355.0,5.4,11.88
2025-01-01 02:50:00+00:00,165.0,8.64,14.58
2025-01-01 03:00:00+00:00,50.0,3.24,10.26
2025-01-01 03:10:00+00:00,265.0,1.62,10.8
2025-01-01 03:27:00+00:00,85.0,4.32,11.34
2025-01-01 03:50:00+00:00,65.0,2.7,5.94
2025-01-01 03:54:00+00:00,185.0,5.4,11.34
2025-01-01 04:00:00+00:00,70.0,3.24,12.42
2025-01-01 04:10:00+00:00,0.0,1.08,4.86
2025-01-01 04:20:00+00:00,110.0,1.08,8.1
2025-01-01 04:30:00+00:00,165.0,1.62,6.48
2025-01-01 04:40:00+00:00,175.0,1.62,7.56
2025-01-01 04:50:00+00:00,60.0,3.78,5.4
2025-01-01 05:00:00+00:00,180.0,5.94,10.8
2025-01-01 05:10:00+00:00,90.0,1.08,8.1
2025-01-01 05:20:00+00:00,55.0,4.86,10.8
2025-01-01 05:30:00+00:00,70.0,5.94,12.96
2025-01-01 05:40:00+00:00,90.0,2.16,5.4
2025-01-01 05:50:00+00:00,25.0,2.7,5.4
2025-01-01 06:00:00+00:00,190.0,10.8,17.28
2025-01-01 06:10:00+00:00,65.0,1.62,13.5
2025-01-01 06:20:00+00:00,115.0,2.16,3.78
2025-01-01 06:30:00+00:00,255.0,2.7,4.32
2025-01-01 06:40:00+00:00,90.0,2.7,8.1
2025-01-01 06:50:00+00:00,75.0,3.24,4.86
2025-01-01 07:00:00+00:00,270.0,2.7,5.94
2025-01-01 07:10:00+00:00,90.0,2.16,4.32
2025-01-01 07:20:00+00:00,250.0,3.78,7.02
2025-01-01 07:30:00+00:00,20.0,1.62,7.02
2025-01-01 07:40:00+00:00,180.0,1.08,6.48
2025-01-01 07:50:00+00:00,255.0,2.7,5.94
2025-01-01 08:00:00+00:00,5.0,3.78,4.86
2025-01-01 08:10:00+00:00,30.0,0.54,4.32
2025-01-01 08:20:00+00:00,115.0,4.86,6.48
2025-01-01 08:30:00+00:00,305.0,3.78,4.86
2025-01-01 08:40:00+00:00,275.0,3.24,6.48
2025-01-01 08:50:00+00:00,20.0,2.7,4.86
2025-01-01 09:00:00+00:00,230.0,3.24,4.32
2025-01-01 09:10:00+00:00,30.0,4.86,6.48
2025-01-01 09:20:00+00:00,50.0,2.16,3.78
2025-01-01 09:30:00+00:00,10.0,2.16,4.86
2025-01-01 09:40:00+00:00,345.0,2.7,5.4
2025-01-01 09:50:00+00:00,135.0,1.62,5.94
2025-01-01 10:00:00+00:00,0.0,2.16,6.48
2025-01-01 10:10:00+00:00,75.0,5.94,6.48
2025-01-01 10:20:00+00:00,285.0,3.24,5.94
2025-01-01 10:30:00+00:00,185.0,1.62,4.86
2025-01-01 10:40:00+00:00,,0.0,3.78
2025-01-01 10:50:00+00:00,195.0,1.62,5.94
2025-01-01 11:00:00+00:00,165.0,0.54,5.4
2025-01-01 11:10:00+00:00,295.0,2.7,4.86
2025-01-01 11:20:00+00:00,265.0,1.62,3.24
2025-01-01 11:30:00+00:00,140.0,3.24,8.1
2025-01-01 11:40:00+00:00,350.0,1.62,5.94
2025-01-01 11:50:00+00:00,125.0,0.54,7.02
2025-01-01 12:00:00+00:00,165.0,3.24,7.56
2025-01-01 12:10:00+00:00,35.0,3.24,6.48
2025-01-01 12:20:00+00:00,40.0,2.7,7.02
2025-01-01 12:30:00+00:00,270.0,3.78,5.94
2025-01-01 12:40:00+00:00,350.0,2.16,10.8
2025-01-01 12:50:00+00:00,100.0,1.62,7.02
2025-01-01 13:00:00+00:00,130.0,6.48,9.72
2025-01-01 13:10:00+00:00,285.0,3.24,7.02
2025-01-01 13:20:00+00:00,0.0,5.4,7.56
2025-01-01 13:30:00+00:00,20.0,4.86,8.64
2025-01-01 13:40:00+00:00,305.0,2.7,7.56
2025-01-01 13:50:00+00:00,200.0,1.62,8.1
2025-01-01 14:00:00+00:00,235.0,1.62,10.26
2025-01-01 14:10:00+00:00,65.0,1.08,4.86
2025-01-01 14:20:00+00:00,85.0,1.62,8.1
2025-01-01 14:30:00+00:00,285.0,3.24,4.86
2025-01-01 14:40:00+00:00,100.0,3.78,7.02
2025-01-01 14:50:00+00:00,295.0,5.4,6.48
