stid,name,latitude,longitude,elevation
PADK,"Adak Island, Adak Airport",51.87778,-176.64583,20.0
PADQ,"Kodiak, Kodiak Airport",57.75,-152.5,72.0
PAGN,Angoon,57.5,-134.58333,80.0
PAKN,"King Salmon, King Salmon Airport",58.67667,-156.64917,56.0
PAKP,"Anaktuvuk Pass, Anaktuvuk Pass Airport",68.13361,-151.74333,2103.0
PAKW,Klawock - Klawock Airport,55.58390,-133.06700,32.0
PANC,"Anchorage, Ted Stevens Anchorage International Airport",61.17444,-149.99611,144.0
PANI,"Aniak, Aniak Airport",61.58139,-159.54278,89.0
PANV,"Anvik, Anvik Airport",62.64833,-160.18972,308.0
PARC,"Arctic Village, Arctic Village Airport",68.11444,-145.57917,2093.0
PAZK,"Eureka, Skelton Airport",61.93333,-147.16667,3287.0
PABV,"Birchwood, Birchwood Airport",61.41667,-149.51667,95.0
PABE,"Bethel, Bethel Airport",60.77972,-161.83778,125.0
PABI,"Delta Junction/Ft Greely, Allen Army Airfield",64,-145.73333,1276.0
PABR,Wiley Post-Will Rogers Memorial Airport,71.28528,-156.76583,43.0
PABA,"Barter Island, Barter Island LRRS Airport",70.13389,-143.57694,7.0
PABT,"Bettles, Bettles Airport",66.91667,-151.51667,643.0
PABL,"Buckland, Buckland Airport",65.98222,-161.15194,23.0
PACD,"Cold Bay, Cold Bay Airport",55.22083,-162.72778,98.0
PACV,"Cordova, Merle K (Mudhole) Smith Airport",60.49167,-145.47778,43.0
PADL,"Dillingham, Dillingham Airport",59.05,-158.51667,85.0
PADU,"Unalaska, Unalaska Airport",53.9,-166.53333,23.0
PAEG,"Eagle, Eagle Airport",64.77639,-141.15083,879.0
PAEL,Elfin Cove - Elfin Cove Seaplane Base,58.19467,-136.34663,26.0
PAEN,"Kenai, Kenai Municipal Airport",60.57306,-151.24500,98.0
PAEM,"Emmonak, Emmonak Airport",62.78333,-164.5,13.0
PANN,Nenana Municipal Airport,64.54796,-149.08398,351.0
PAFA,"Fairbanks, Fairbanks International Airport",64.80389,-147.87611,433.0
PFYU,"Fort Yukon, Fort Yukon Airport",66.56667,-145.26667,430.0
PAGA,"Galena, Edward G. Pitka Sr. Airport",64.73333,-156.93333,151.0
PAGM,"Gambell, Gambell Airport",63.76667,-171.73333,26.0
PAGB,"Galbraith Lake, Galbraith Lake Airport",68.48333,-149.48333,2671.0
PAGK,"Gulkana, Gulkana Airport",62.15,-145.45,1578.0
PAGS,"Gustavus, Gustavus Airport",58.41667,-135.70,33.0
PAHN,Haines - Haines Airport,59.24290,-135.51140,49.0
PAHO,"Homer, Homer Airport",59.65,-151.48333,85.0
PAHY,Hydaburg - Hydaburg Seaplane Base,55.2,-132.83333,16.0
PAIL,"Iliamna, Iliamna Airport",59.75,-154.90,187.0
PAIN,"McKinley Park, McKinley National Park Airport",63.73333,-148.91667,1719.0
PAJN,"Juneau, Juneau International Airport",58.35472,-134.57611,20.0
PAFE,Kake - Kake Airport,56.964,-133.913,150.0
